goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_SlidingNWay/N8-16                    	   72750	      4862 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   74556	      4900 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   73525	      4883 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   72144	      5023 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   71542	      5056 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   73693	      5234 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   68901	      5304 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   63391	      5074 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   65277	      5045 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   71731	      4965 ns/op	   20392 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   15171	     24894 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   14870	     24103 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   14817	     24692 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   13898	     24808 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   14216	     25158 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   13898	     24546 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   14126	     24628 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   14961	     24567 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   15033	     24820 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   14964	     25853 ns/op	  213544 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     220	   1656611 ns/op	 7989847 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     213	   1633726 ns/op	 7989858 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     223	   1622267 ns/op	 7989846 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     212	   1659206 ns/op	 7989877 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     205	   1642263 ns/op	 7989848 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     213	   1621155 ns/op	 7989854 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     225	   1695700 ns/op	 7989839 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     199	   1616193 ns/op	 7989845 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     218	   1621554 ns/op	 7989841 B/op	    1677 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     213	   1652707 ns/op	 7989839 B/op	    1677 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  102885	      3349 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  107773	      3299 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  108842	      3553 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  101920	      3566 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  101007	      3398 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  110181	      3662 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   96976	      3454 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  106492	      3314 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  110451	      3678 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  100635	      3513 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   17048	     21225 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   16482	     19841 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   17577	     20465 ns/op	  194545 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   17067	     19073 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   18715	     21182 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   18333	     21647 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   18391	     19318 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   18958	     19307 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   18885	     19179 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   18955	     20226 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     750	    459148 ns/op	 2825072 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     831	    458594 ns/op	 2825073 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     864	    401123 ns/op	 2825073 B/op	      26 allocs/op
