goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_SlidingNWay/N8-16                    	   21156	     16715 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   21440	     15488 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   22147	     15793 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   22490	     16117 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   23210	     16640 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   21564	     16069 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   23179	     17508 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   17916	     19124 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20619	     19900 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   10000	     30995 ns/op	   59232 B/op	     113 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1776	    171407 ns/op	  864802 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    2174	    170823 ns/op	  864802 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    2108	    167504 ns/op	  864803 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    2178	    172435 ns/op	  864802 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    2121	    182599 ns/op	  864803 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1728	    186206 ns/op	  864802 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1947	    189524 ns/op	  864802 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    2013	    196121 ns/op	  864803 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1952	    183438 ns/op	  864802 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1930	    181063 ns/op	  864803 B/op	     531 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      69	   5393963 ns/op	26433723 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      60	   5754767 ns/op	26433646 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      66	   6102105 ns/op	26433717 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      64	   5431028 ns/op	26433650 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      68	   5422189 ns/op	26433638 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      62	   5570195 ns/op	26433639 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      67	   5229265 ns/op	26433648 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      69	   5350976 ns/op	26433638 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      67	   5167918 ns/op	26433644 B/op	    4187 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      52	   5985215 ns/op	26433647 B/op	    4187 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   71697	      4189 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   88453	      4123 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   81888	      4162 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   89672	      4118 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   84943	      4199 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   88390	      4902 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   87961	      4112 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   88188	      4247 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   81409	      4336 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   86894	      4314 ns/op	   15344 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    8422	     37566 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   10000	     35479 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   10000	     34135 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   10000	     34132 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    9999	     35422 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   10000	     35886 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    9944	     35399 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   10000	     34994 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    9039	     40853 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   10000	     33696 ns/op	  194544 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     205	   1708778 ns/op	10804095 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     196	   1753451 ns/op	10804090 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     202	   1743087 ns/op	10804093 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     210	   1721170 ns/op	10804096 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     211	   1755043 ns/op	10804089 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     205	   1619781 ns/op	10804090 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     194	   1781139 ns/op	10804093 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     220	   1722531 ns/op	10804093 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     201	   1776800 ns/op	10804093 B/op	      28 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     205	   1925546 ns/op	10804088 B/op	      28 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   15494	     20773 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   20097	     18423 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   19669	     18252 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   19776	     17983 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   19946	     18391 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   17336	     20445 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   19503	     19789 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   17880	     20329 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   19348	     18257 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   19137	     18845 ns/op	   63344 B/op	     140 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1900	    178424 ns/op	  875699 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    2134	    189631 ns/op	  875699 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1942	    190685 ns/op	  875700 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1952	    207991 ns/op	  875701 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1747	    190676 ns/op	  875700 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1796	    190494 ns/op	  875701 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1754	    195924 ns/op	  875700 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    2005	    174590 ns/op	  875699 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1944	    188981 ns/op	  875700 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1932	    202945 ns/op	  875699 B/op	     558 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      58	   5520170 ns/op	26436333 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      61	   5420532 ns/op	26436337 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      62	   5592749 ns/op	26436334 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      61	   5566377 ns/op	26436342 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      74	   5633941 ns/op	26436338 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      75	   5514946 ns/op	26436331 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      60	   5799343 ns/op	26436329 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      66	   5624881 ns/op	26436344 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      76	   5345053 ns/op	26436336 B/op	    4214 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      66	   5803765 ns/op	26436337 B/op	    4214 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   86571	      3963 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   90582	      3614 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  101328	      3554 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   93094	      3659 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   97602	      3549 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   94491	      3741 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  100374	      3564 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  104230	      3463 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   94064	      3821 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   93871	      3749 ns/op	    9224 B/op	      39 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  208604	      1718 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  202663	      1773 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  194328	      2180 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  175214	      1743 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  213098	      1708 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  206646	      1660 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  222861	      1636 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  212364	      1719 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  207949	      1654 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  223470	      1677 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	131162413	         2.745 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	128723348	         2.770 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	128259711	         2.932 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	129510378	         2.911 ns/op	       0 B/op	       0 allocs/op
