goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_SlidingNWay/N8-16                    	   94393	      3946 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   88034	      4000 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   91689	      3868 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   95942	      3826 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   96574	      3844 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   92900	      3890 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   87667	      4006 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   93496	      3852 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   95511	      3774 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   95277	      3815 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   24027	     14754 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   24529	     14616 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   24728	     14644 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   24429	     14685 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   24463	     14587 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   24642	     14690 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   24499	     14617 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   23404	     16085 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   23922	     14764 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	   23828	     15383 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     171	   2147194 ns/op	10594887 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     175	   2108189 ns/op	10594892 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     176	   2133500 ns/op	10594894 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     168	   2119315 ns/op	10594893 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     162	   2151717 ns/op	10594896 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     169	   2121115 ns/op	10594894 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     166	   2136119 ns/op	10594891 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     165	   2087026 ns/op	10594889 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     165	   2143354 ns/op	10594891 B/op	    1686 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	     163	   2142558 ns/op	10594891 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   91587	      4066 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   91177	      4061 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   88640	      4056 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   88136	      4042 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   85689	      4019 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   87729	      4099 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   89533	      4093 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   89611	      4204 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   89583	      4149 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   89356	      4055 ns/op	   10920 B/op	      28 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   23718	     15254 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   23461	     15758 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   22866	     15682 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   23682	     15316 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   22926	     15751 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   23284	     15667 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   23640	     14917 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   22867	     15688 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   21879	     15294 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	   22750	     15012 ns/op	   41512 B/op	      34 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     172	   2041454 ns/op	10594892 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     174	   2026518 ns/op	10594889 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     178	   2031133 ns/op	10594888 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     174	   2060504 ns/op	10594923 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     176	   1997327 ns/op	10594898 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     176	   2119876 ns/op	10594887 B/op	    1686 allocs/op
