goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_SlidingNWay/N8-16                    	   21076	     17001 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   21265	     17287 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20452	     17716 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20178	     17354 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20978	     19907 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20619	     21991 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20912	     17624 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20366	     17688 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20388	     17721 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N8-16                    	   20748	     17624 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1632	    214600 ns/op	 1256326 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1666	    221052 ns/op	 1256326 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1588	    213233 ns/op	 1256324 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1731	    206959 ns/op	 1256324 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1719	    214983 ns/op	 1256324 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1484	    249795 ns/op	 1256325 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1707	    229112 ns/op	 1256326 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1552	    225442 ns/op	 1256325 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1664	    219132 ns/op	 1256325 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N32-16                   	    1563	    211391 ns/op	 1256324 B/op	     522 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      42	   8394882 ns/op	34449082 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      38	   8166291 ns/op	34448843 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      40	   9306406 ns/op	34448957 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      37	   8414383 ns/op	34448821 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      39	   8677281 ns/op	34448818 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      38	   8881505 ns/op	34448826 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      34	   8965811 ns/op	34448830 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      36	   8695267 ns/op	34448826 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      36	   8776317 ns/op	34448827 B/op	    4183 allocs/op
BenchmarkV4Perf_SlidingNWay/N128-16                  	      52	   6772957 ns/op	34448819 B/op	    4183 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   19837	     17660 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   19960	     17952 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   20521	     17610 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   20180	     19452 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   20184	     17865 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   20600	     17494 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   18428	     18896 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   20354	     17722 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   20431	     17440 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N8-16      	   20449	     17545 ns/op	   69312 B/op	     103 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	    1663	    221948 ns/op	 1256324 B/op	     522 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	    1717	    221157 ns/op	 1256324 B/op	     522 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	    1588	    222239 ns/op	 1256325 B/op	     522 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N32-16     	    1645	    220790 ns/op	 1256324 B/op	     522 allocs/op
